edge_id,width,density,average_speed
-1059393591,3.5,0.0,0.0
-1079647854#0,3.5,0.0,0.0
-1079647854#1,3.5,0.0,0.0
-1080868202,3.5,0.0,0.0
-1081329528#0,3.5,0.0,0.0
-1081329528#1,3.5,0.0,0.0
-1081647125,3.5,0.0,0.0
-1081648321,3.5,0.0,0.0
-1099721720,3.5,0.0,0.0
-1107323962,3.5,0.0,0.0
-1126551277#0,3.5,0.0,0.0
-1126551277#1,3.5,0.0,0.0
-1147042694,3.5,0.0,0.0
-1156123812#0,3.5,0.0,0.0
-1156123812#1,3.5,0.0,0.0
-1156123813#0,3.5,0.0,0.0
-1156123813#1,3.5,0.0,0.0
-1156123813#2,3.5,0.0,0.0
-1157218234#0,3.5,0.0,0.0
-1157218234#1,3.5,0.0,0.0
-1157218234#2,3.5,0.0,0.0
-1157218234#3,3.5,0.0,0.0
-1157218234#4,3.5,0.0,0.0
-1157218235,3.5,0.0,0.0
-1194042864#0,3.5,0.0,0.0
-1194042864#1,3.5,0.0,0.0
-1245858890,3.5,0.0,0.0
-1245858892,3.5,0.0,0.0
-1245858893,3.5,0.0,0.0
-1245858894,3.5,0.0,0.0
-1254697470,3.5,0.0,0.0
-1254697471,3.5,0.0,0.0
-1254697472,3.5,0.0,0.0
-1256907219#0,3.5,0.0,0.0
-1256907219#1,3.5,0.0,0.0
-1256907219#2,3.5,0.0,0.0
-1257758359,3.5,0.0,0.0
-1286257630#0,3.5,0.0,0.0
-1286257630#1,3.5,0.0,0.0
-1286257631#0,3.5,0.0,0.0
-1286257631#1,3.5,0.0,0.0
-1288875211,3.5,0.0,0.0
-1288875212,3.5,0.0,0.0
-1288875213,3.5,0.0,0.0
-1288875214#0,3.5,0.0,0.0
-1288875214#1,3.5,0.0,0.0
-1288875214#2,3.5,0.0,0.0
-1288875215,3.5,0.0,0.0
-1288875216,3.5,0.0,0.0
-1288875217,3.5,0.0,0.0
-1288875218,3.5,0.0,0.0
-1288875219,3.5,0.0,0.0
-1288875220,3.5,0.0,0.0
-1288875221,3.5,0.0,0.0
-1288875222,3.5,0.0,0.0
-1288877702#0,3.5,0.0,0.0
-1288877702#1,3.5,0.0,0.0
-1288877702#2,3.5,0.0,0.0
